,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"('id', UUID('6deae0db-deb9-44eb-b104-0cba829114b2'))","('client_order_id', '4e83ef11-3042-49c1-a867-39ae4a5105d1')","('created_at', datetime.datetime(2024, 7, 13, 0, 44, 46, 851556, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 13, 0, 44, 46, 883410, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 13, 0, 44, 46, 851556, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 13, 0, 44, 46, 855744, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.013071847')","('filled_qty', '0.013071847')","('filled_avg_price', '57839.6')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.SELL: 'sell'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
1,"('id', UUID('473b5794-66c7-48d8-867d-f62578325d99'))","('client_order_id', 'f1455b90-f085-4d2b-80b0-a8194f59a375')","('created_at', datetime.datetime(2024, 7, 13, 0, 30, 23, 457214, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 13, 0, 30, 23, 483722, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 13, 0, 30, 23, 457214, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 13, 0, 30, 23, 461871, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.013074392')","('filled_qty', '0.013074392')","('filled_avg_price', '57819.36')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.SELL: 'sell'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
2,"('id', UUID('284e05c6-2559-4075-8443-65515cad6ee1'))","('client_order_id', 'e00b0374-2320-4262-a67f-3ed96924c1f7')","('created_at', datetime.datetime(2024, 7, 13, 0, 14, 47, 302516, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 13, 0, 14, 47, 332949, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 13, 0, 14, 47, 302516, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 13, 0, 14, 47, 306505, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.01295453')","('filled_qty', '0.01295453')","('filled_avg_price', '57935.38')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
3,"('id', UUID('4f290d18-acb8-4ff2-babc-cec1b549b386'))","('client_order_id', 'f3349bb2-55d0-46e0-967e-0f0210e217be')","('created_at', datetime.datetime(2024, 7, 12, 23, 59, 47, 302218, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 23, 59, 47, 333499, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 23, 59, 47, 302218, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 23, 59, 47, 307030, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.012959488')","('filled_qty', '0.012959488')","('filled_avg_price', '57930.23')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
4,"('id', UUID('96e30b1e-b6a3-452f-ac4f-cdef89ae6840'))","('client_order_id', '0e5839b3-3253-4248-a7e3-1adcefaba441')","('created_at', datetime.datetime(2024, 7, 12, 23, 44, 46, 896554, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 23, 44, 46, 933496, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 23, 44, 46, 896554, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 23, 44, 46, 901749, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.012971121')","('filled_qty', '0.012971121')","('filled_avg_price', '57874.5')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
5,"('id', UUID('5e09eb8d-63c1-45a2-84a8-345c9abe46d8'))","('client_order_id', 'f1dc68d6-0605-4628-8f03-e33b0f08ae78')","('created_at', datetime.datetime(2024, 7, 12, 22, 59, 46, 518206, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 22, 59, 46, 533015, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 22, 59, 46, 518206, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 22, 59, 46, 521431, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.012980569')","('filled_qty', '0.012980569')","('filled_avg_price', '57836.65')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
6,"('id', UUID('9bf54b47-873a-472e-924a-3918137038e6'))","('client_order_id', '1a85f572-25be-4d11-89f5-2ddf0d2051fb')","('created_at', datetime.datetime(2024, 7, 12, 22, 44, 47, 131303, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 22, 44, 47, 183813, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 22, 44, 47, 131303, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 22, 44, 47, 135235, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.012997865')","('filled_qty', '0.012997865')","('filled_avg_price', '57775.26')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
7,"('id', UUID('bc513da9-1a3e-4739-bccb-695fa2021413'))","('client_order_id', 'ae365651-6276-43a9-b526-3e77f436a7f5')","('created_at', datetime.datetime(2024, 7, 12, 22, 30, 26, 553455, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 22, 30, 26, 583599, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 22, 30, 26, 553455, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 22, 30, 26, 557097, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.013004')","('filled_qty', '0.013004')","('filled_avg_price', '57739.07')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
8,"('id', UUID('7993b866-e900-4162-a803-e1c74bcaeb2a'))","('client_order_id', 'f4c9155e-b87f-449e-8600-8d794aae55ae')","('created_at', datetime.datetime(2024, 7, 12, 22, 14, 46, 906298, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 22, 14, 46, 933702, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 22, 14, 46, 906298, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 22, 14, 46, 910075, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.013003717')","('filled_qty', '0.013003717')","('filled_avg_price', '57741.8')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
9,"('id', UUID('fead24f5-c8be-454f-8142-2431564270b1'))","('client_order_id', '4fb8a935-1eaf-4285-be21-84b953163414')","('created_at', datetime.datetime(2024, 7, 12, 21, 59, 46, 815783, tzinfo=TzInfo(UTC)))","('updated_at', datetime.datetime(2024, 7, 12, 21, 59, 46, 833662, tzinfo=TzInfo(UTC)))","('submitted_at', datetime.datetime(2024, 7, 12, 21, 59, 46, 815783, tzinfo=TzInfo(UTC)))","('filled_at', datetime.datetime(2024, 7, 12, 21, 59, 46, 820235, tzinfo=TzInfo(UTC)))","('expired_at', None)","('canceled_at', None)","('failed_at', None)","('replaced_at', None)","('replaced_by', None)","('replaces', None)","('asset_id', UUID('276e2673-764b-4ab6-a611-caf665ca6340'))","('symbol', 'BTC/USD')","('asset_class', <AssetClass.CRYPTO: 'crypto'>)","('notional', None)","('qty', '0.013018497')","('filled_qty', '0.013018497')","('filled_avg_price', '57647.585')","('order_class', <OrderClass.SIMPLE: 'simple'>)","('order_type', <OrderType.MARKET: 'market'>)","('type', <OrderType.MARKET: 'market'>)","('side', <OrderSide.BUY: 'buy'>)","('time_in_force', <TimeInForce.GTC: 'gtc'>)","('limit_price', None)","('stop_price', None)","('status', <OrderStatus.FILLED: 'filled'>)","('extended_hours', False)","('legs', None)","('trail_percent', None)","('trail_price', None)","('hwm', None)"
